main,address,added,upped,view_count,hearts,lat,lon,Тип предложения,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Газ,Санузел,Балкон,Входная дверь,Парковка,Высота потолков,Безопасность,Правоустанавливающие документы,Телефон,Интернет,Мебель,Возможность рассрочки,Возможность обмена,Разное,Пол,Возможность ипотеки,Площадь участка,Канализация,Питьевая вода,Электричество,usd_price
"1-комн. кв., 50 м2","Бишкек, Горького - Алма-Атинская, Горького-7-апреля",Добавлено 1 месяц назад,Поднято 15 дней назад,268,4.0,42.8567,74.6421,от собственника,108 серия,"панельный, 2024 г.",7 этаж из 16,50 м2,автономное,евроремонт,,совмещенный,лоджия,бронированная,паркинг,280 м.,"видеонаблюдение,                                             охрана,                                             видеодомофон","договор долевого участия,                                             красная книга",возможно подключение,проводной,полностью меблирована,,рассмотрю варианты,"пластиковые окна,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,68500
"2-комн. кв., 61 м2","Бишкек, Тунгуч м-н, мкр. Тунгуч",Добавлено 4 месяца назад,Поднято 5 часов назад,888,2.0,42.8551,74.6868,от агента,106 серия,"панельный, 2019 г.",6 этаж из 9,61 м2,центральное,евроремонт,,,,,,3 м.,домофон,договор долевого участия,,,,,,улучшенная,,,,,,,79000
"2-комн. кв., 68 м2","Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",Добавлено 5 дней назад,Поднято 7 часов назад,86,,42.8353,74.6413,от агента,элитка,"монолитный, 2023 г.",7 этаж из 14,68 м2,на газе,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,130000
"2-комн. кв., 78 м2","Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк») 156/3",Добавлено 2 месяца назад,Поднято 12 часов назад,294,,42.8581,74.6339,от агента,элитка,"монолитный, 2025 г.",11 этаж из 16,"78 м2, жилая: 52 м2, кухня: 16 м2",центральное,не достроено,,раздельный,лоджия,,,3 м.,,"договор купли-продажи,                                             договор долевого участия,                                             красная книга",,,,,,,,,,,,,85000
"2-комн. кв., 49 м2","Бишкек, Средний Джал м-н, Тыналиева, 1",Добавлено 2 месяца назад,Поднято 12 часов назад,405,4.0,42.8379,74.5679,от агента,индивид. планировка,"монолитный, 2018 г.",4 этаж из 13,"49 м2, жилая: 30 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,76000
"2-комн. кв., 65 м2","Бишкек, Кок-Жар ж/м, Молдокулова 100",Добавлено 4 месяца назад,Поднято 20 дней назад,732,6.0,42.8529,74.6416,от агента,элитка,"кирпичный, 2028 г.",9 этаж из 14,65 м2,,не достроено,магистральный,,,,паркинг,,видеонаблюдение,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,54800
"1-комн. кв., 54 м2","Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",Добавлено 28 дней назад,Поднято 15 часов назад,324,3.0,42.819,74.5853,от агента,элитка,"монолитный, 2021 г.",6 этаж из 14,54 м2,на газе,евроремонт,,,,,,3 м.,"видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,,,,нет,обмен не предлагать,пластиковые окна,,нет,,,,,95000
"3-комн. кв., 69 м2","Бишкек, Военторг, Манасчы Сагынбая 168",Добавлено 19 дней назад,Поднято 6 часов назад,143,,42.8716,74.5945,от агента,элитка,"монолитный, 2025 г.",13 этаж из 16,69 м2,центральное,под самоотделку (псо),,,,,,3.2 м.,,"договор долевого участия,                                             технический паспорт",,,,,,,,,,,,,105000
"1-комн. кв., 44.6 м2","Бишкек, Ден Сяопина - Фучика, Ильменская 19",Добавлено 1 месяц назад,,252,1.0,42.881,74.5439,от собственника,108 серия,"панельный, 2025 г.",1 этаж из 5,"44.6 м2, кухня: 10.8 м2",на газе,под самоотделку (псо),,,,,,2.7 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,42370
"1-комн. кв., 51 м2","Бишкек, Кулатова- Матросова, Льва Толстого 6К/Матросова",Добавлено 2 месяца назад,Поднято 6 часов назад,382,1.0,42.8632,74.6203,от агента,элитка,"монолитный, 2023 г.",15 этаж из 15,51 м2,центральное,под самоотделку (псо),магистральный,совмещенный,лоджия,бронированная,паркинг,3 м.,"домофон,                                             видеодомофон,                                             охрана",договор долевого участия,,,,,,"пластиковые окна,                                             тихий двор",,,,,,,51000
"1-комн. кв., 35 м2","Бишкек, Таатан",Добавлено 3 месяца назад,Поднято 17 часов назад,443,,42.8788,74.6571,от агента,индивид. планировка,кирпичный,1 этаж из 5,35 м2,центральное,хорошее,магистральный,совмещенный,балкон,бронированная,,2.8 м.,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,частично меблирована,,,"пластиковые окна,                                             неугловая",линолеум,,,,,,57200
"2-комн. кв., 65 м2","Бишкек, Рабочий Городок",Добавлено 2 месяца назад,Поднято 6 часов назад,516,,42.8608,74.565,от агента,элитка,монолитный,2 этаж из 3,65 м2,на газе,под самоотделку (псо),,,,,,,,"договор долевого участия,                                             красная книга",,,,,,тихий двор,,,,,,,54000
"2-комн. кв., 60 м2","Бишкек, Магистраль, Масалиева 43/Бакаева",Добавлено 1 месяц назад,Поднято 12 часов назад,442,3.0,42.83,74.5774,от агента,элитка,"монолитный, 2017 г.",3 этаж из 12,60 м2,центральное,евроремонт,,,,,,3 м.,,"договор купли-продажи,                                             договор долевого участия,                                             красная книга",,,,,,кухня-студия,,,,,,,97000
"1-комн. кв., 38 м2","Бишкек, Госрегистр, пр. Чингиза Айтматова 4",Добавлено 27 дней назад,Поднято 16 часов назад,335,1.0,42.8626,74.5883,от агента,элитка,"монолитный, 2019 г.",8 этаж из 12,38 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,69500
"2-комн. кв., 67 м2","Бишкек, Горького - Алма-Атинская, Горького",Добавлено 5 месяцев назад,Поднято 5 часов назад,732,7.0,42.8568,74.6308,от агента,элитка,"монолитный, 2024 г.",13 этаж из 14,67 м2,центральное,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,паркинг,3 м.,видеонаблюдение,"договор долевого участия,                                             красная книга",возможно подключение,,пустая,,,тихий двор,,,,,,,69000
"3-комн. кв., 65 м2","Бишкек, Молодая Гвардия, проспект Чуй 273/Бейшеналиева",Добавлено 5 месяцев назад,Поднято 14 дней назад,894,5.0,42.8777,74.5733,от собственника,сталинка,кирпичный,3 этаж из 3,"65 м2, кухня: 8 м2",центральное,евроремонт,нет,раздельный,балкон,бронированная,паркинг,3.3 м.,,,,,пустая,,рассмотрю варианты,,линолеум,есть,,,,,80000
"1-комн. кв., 45 м2","Бишкек, с. Кок-Джар, с. Кок-Жар, ул.Конур Осмона",Добавлено 5 месяцев назад,Поднято 7 часов назад,900,3.0,42.8137,74.6485,от агента,элитка,"монолитный, 2024 г.",11 этаж из 12,45 м2,на газе,евроремонт,,,,,,,,,,,,,,,,,,,,,66000
"2-комн. кв., 48 м2","Бишкек, Восток-5 м-н",Добавлено 6 дней назад,Поднято 17 часов назад,92,,42.8704,74.6351,от агента,105 серия,панельный,4 этаж из 5,"48 м2, жилая: 30 м2, кухня: 9 м2",центральное,хорошее,магистральный,раздельный,лоджия,бронированная,рядом охраняемая стоянка,,"домофон,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",возможно подключение,проводной,частично меблирована,нет,,"неугловая,                                             комнаты изолированы",ламинат,нет,,,,,77500
"1-комн. кв., 48 м2","Бишкек, Пишпек ж/м, Репина/М. Алыбаева",Добавлено 1 месяц назад,Поднято 7 часов назад,286,1.0,42.8634,74.5501,от агента,элитка,"монолитный, 2022 г.",9 этаж из 12,48 м2,центральное,под самоотделку (псо),,,,,,3 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,49000
"1-комн. кв., 47 м2","Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",Добавлено 6 месяцев назад,Поднято 9 часов назад,795,5.0,42.8353,74.6413,от агента,элитка,"монолитный, 2023 г.",12 этаж из 14,47 м2,на газе,под самоотделку (псо),,,,,,3 м.,,договор долевого участия,,,,,,пластиковые окна,,,,,,,57000
"2-комн. кв., 58.62 м2","Бишкек, Магистраль",Добавлено 3 месяца назад,Поднято 9 часов назад,580,1.0,42.8271,74.5899,от агента,элитка,монолитный,10 этаж из 11,58.62 м2,,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,72500
"3-комн. кв., 74.5 м2","Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",Добавлено 2 месяца назад,Поднято 8 часов назад,461,5.0,42.8171,74.617,от агента,элитка,"монолитный, 2022 г.",2 этаж из 12,74.5 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,85000
"3-комн. кв., 88 м2","Бишкек, АЮ Grand,  ул.Анкар  1/19",Добавлено 14 дней назад,Поднято 7 часов назад,104,2.0,42.8565,74.672,от агента,элитка,"монолитный, 2024 г.",1 этаж из 14,88 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,120000
"3-комн. кв., 105 м2","Бишкек, Московская - Белинка",Добавлено 23 дня назад,Поднято 7 часов назад,246,1.0,42.8716,74.5869,от агента,элитка,"кирпичный, 2009 г.",5 этаж из 9,105 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,169000
"2-комн. кв., 84 м2","Бишкек, Юбилейка, Льва Толстого/Тыныстанова",Добавлено 5 месяцев назад,Поднято 4 часа назад,1139,3.0,42.8615,74.6078,от агента,элитка,"монолитный, 2020 г.",2 этаж из 10,84 м2,центральное,евроремонт,магистральный,раздельный,лоджия,бронированная,паркинг,3 м.,"домофон,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",возможно подключение,,частично меблирована,,,"встроенная кухня,                                             тихий двор",,,,,,,115000
"3-комн. кв., 55.3 м2","Бишкек, Горького - Панфилова, Фатьяновв/Юг-2",Добавлено 2 месяца назад,Поднято 6 часов назад,622,6.0,42.8612,74.6049,от агента,индивид. планировка,"кирпичный, 1965 г.",4 этаж из 4,"55.3 м2, жилая: 41 м2, кухня: 6 м2",центральное,среднее,магистральный,совмещенный,застекленный балкон,бронированная,,2.8 м.,домофон,"договор купли-продажи,                                             технический паспорт",,,пустая,,,"пластиковые окна,                                             неугловая",линолеум,,,,,,75000
"2-комн. кв., 60 м2","Бишкек, Молодая Гвардия, Бульвар  Молодой Гвардии/Московская",Добавлено 22 дня назад,Поднято 8 дней назад,395,3.0,42.8702,74.5751,от собственника,сталинка,кирпичный,2 этаж из 3,60 м2,центральное,хорошее,магистральный,раздельный,застекленный балкон,,паркинг,3.4 м.,,,возможно подключение,adsl,частично меблирована,,,"кладовка,                                             тихий двор,                                             удобно под бизнес",,,,,,,72000
"2-комн. кв., 44 м2","Бишкек, Московская - Уметалиева, Шевченко, 55",Добавлено 2 месяца назад,Поднято 10 часов назад,438,2.0,42.8726,74.5831,от агента,индивид. планировка,"кирпичный, 1972 г.",5 этаж из 5,"44 м2, жилая: 26.4 м2",,,,,,,,2.8 м.,,,,,,,,,,есть,,,,,74000
"3-комн. кв., 96 м2","Бишкек, Магистраль, Байтик Баатыра/Токомбаева",Добавлено 2 месяца назад,Поднято 13 часов назад,319,1.0,42.818,74.6088,от агента,элитка,"монолитный, 2024 г.",3 этаж из 16,96 м2,,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,127000
"3-комн. кв., 127 м2","Бишкек, Московская - Белинка",Добавлено 26 дней назад,Поднято 6 часов назад,207,1.0,42.8678,74.5892,от агента,элитка,кирпичный,3 этаж из 11,127 м2,центральное,евроремонт,магистральный,2 с/у и более,,бронированная,,,"домофон,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",,,частично меблирована,,,пластиковые окна,,,,,,,260000
"1-комн. кв., 40 м2","Бишкек, Горького - Алма-Атинская, Горького-7-апреля",Добавлено 2 месяца назад,Поднято 15 часов назад,291,1.0,42.856,74.6415,от агента,элитка,"монолитный, 2023 г.",7 этаж из 16,40 м2,на газе,под самоотделку (псо),автономный,совмещенный,лоджия,металлическая,рядом охраняемая стоянка,3.3 м.,,"договор долевого участия,                                             красная книга",нет,adsl,пустая,,,,,,,,,,47000
"2-комн. кв., 73 м2","Бишкек, Ден Сяопина - Фучика, Дэн Сяопина 23/Дэн Сяопина 25",Добавлено 1 месяц назад,Поднято 18 часов назад,241,,42.878,74.5566,от агента,элитка,"монолитный, 2024 г.",5 этаж из 10,73 м2,на газе,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,,3 м.,"домофон,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,нет,,"пластиковые окна,                                             улучшенная,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,нет,,,,,66000
"1-комн. кв., 40 м2","Бишкек, 12 м-н, 12",Добавлено 11 дней назад,Поднято 8 часов назад,120,,42.8137,74.6312,от агента,элитка,кирпичный,1 этаж из 10,40 м2,центральное,хорошее,магистральный,совмещенный,,бронированная,,,,технический паспорт,возможно подключение,проводной,,нет,обмен не предлагать,,,,,,,,64500
"5-комн. кв., 214 м2","Бишкек, Советская - Скрябина",Добавлено 5 месяцев назад,Поднято 16 часов назад,996,5.0,42.8513,74.6142,от агента,пентхаус,кирпичный,9 этаж из 10,214 м2,центральное,евроремонт,магистральный,2 с/у и более,лоджия,бронированная,рядом охраняемая стоянка,,,"договор купли-продажи,                                             технический паспорт,                                             красная книга",возможно подключение,проводной,полностью меблирована,,,,паркет,,,,,,415000
"2-комн. кв., 67 м2","Бишкек, Средний Джал м-н",Добавлено 2 месяца назад,Поднято 17 часов назад,576,6.0,42.8378,74.5674,от агента,элитка,"кирпичный, 2017 г.",6 этаж из 12,67 м2,центральное,евроремонт,нет,,,,,3 м.,"домофон,                                             кодовый замок","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",возможно подключение,проводной,частично меблирована,нет,обмен не предлагать,,,нет,,,,,79000
"1-комн. кв., 48 м2","Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",Добавлено 3 месяца назад,Поднято 7 часов назад,555,2.0,42.8521,74.6419,от агента,108 серия,"панельный, 2020 г.",7 этаж из 12,48 м2,,евроремонт,,,,,,2.8 м.,,,,,,,,,,,,,,,65000
"3-комн. кв., 98 м2","Бишкек, Кок-Жар ж/м, ул. 7 Апреля / Молдокулова",Добавлено 2 месяца назад,,239,,42.8353,74.6413,от собственника,элитка,монолитный,13 этаж из 14,"98 м2, кухня: 18 м2",на газе,евроремонт,,,,,,3 м.,,,,,,,рассмотрю варианты,,,,,,,,165000
"3-комн. кв., 83.48 м2","Бишкек, Магистраль, Сухэ Батора/Токомбаева",Добавлено 24 дня назад,Поднято 9 часов назад,134,,42.8213,74.6168,от агента,элитка,"кирпичный, 2022 г.",8 этаж из 14,83.48 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,99000
"1-комн. кв., 27 м2","Бишкек, Горького - Алма-Атинская",Добавлено 11 дней назад,Поднято 15 часов назад,140,1.0,42.8569,74.6398,от агента,элитка,кирпичный,1 этаж из 9,27 м2,на газе,евроремонт,,,,,,,охрана,"договор долевого участия,                                             красная книга",,,,нет,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             тихий двор,                                             удобно под бизнес",,нет,,,,,41500
"3-комн. кв., 83 м2","Бишкек, Кок-Жар м-н",Добавлено 2 года назад,Поднято 24 дня назад,9397,12.0,42.8485,74.6321,от собственника,105 серия,"панельный, 1987 г.",5 этаж из 5,"83 м2, жилая: 62 м2",центральное,хорошее,магистральный,раздельный,застекленный балкон,бронированная,,,,,есть,проводной,частично меблирована,,,,,есть,,,,,90000
"2-комн. кв., 44 м2","Бишкек, 4 м-н, 4-й микрорайон, 31",Добавлено 4 месяца назад,Поднято 11 часов назад,562,,42.8358,74.6285,от агента,104 серия,"панельный, 1972 г.",1 этаж из 4,"44 м2, жилая: 28 м2",,,,,,,,2.5 м.,,,,,,,,,,нет,,,,,73000
"1-комн. кв., 28 м2","Бишкек, Чокана Валиханова - Исакеева, Исакеева/Виноградная",Добавлено 1 месяц назад,,352,5.0,42.8612,74.6673,от собственника,элитка,"монолитный, 2022 г.",5 этаж из 10,28 м2,центральное,хорошее,магистральный,совмещенный,,бронированная,паркинг,2.8 м.,"домофон,                                             кодовый замок,                                             видеонаблюдение",технический паспорт,возможно подключение,,,нет,,пластиковые окна,ламинат,нет,,,,,50000
"3-комн. кв., 84.03 м2","Бишкек, Баха,  ул.Космическая 96",Добавлено 5 месяцев назад,Поднято 8 часов назад,620,1.0,42.8463,74.5574,от агента,элитка,"монолитный, 2025 г.",7 этаж из 10,84.03 м2,на газе,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,,,"домофон,                                             сигнализация,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,,,пластиковые окна,,,,,,,78148
"4-комн. кв., 164 м2","Бишкек, Золотой квадрат",Добавлено 9 дней назад,Поднято 6 часов назад,128,1.0,42.8679,74.6042,от агента,элитка,монолитный,4 этаж из 11,164 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,325000
"5-комн. кв., 164 м2","Бишкек, Карпинка, Фрунзе 300/3/Гоголя",Добавлено 2 месяца назад,Поднято 8 часов назад,494,2.0,42.8804,74.6204,от агента,элитка,"монолитный, 2019 г.",16 этаж из 17,164 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,328000
"2-комн. кв., 50 м2","Бишкек, 12 м-н, 12-й микрорайон, 69",Добавлено 2 года назад,Поднято 13 часов назад,6147,74.0,42.8125,74.6389,от агента,индивид. планировка,"кирпичный, 2023 г.",10 этаж из 13,"50 м2, жилая: 17.1 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,55000
"4-комн. кв., 137.95 м2","Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",Добавлено 2 месяца назад,Поднято 8 часов назад,373,,42.8186,74.6032,от агента,элитка,"монолитный, 2022 г.",8 этаж из 14,137.95 м2,автономное,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,паркинг,3 м.,"сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,,,"комнаты изолированы,                                             тихий двор",,,,,,,172438
"2-комн. кв., 100 м2","Бишкек, Магистраль, пр. Ч. Айтматова",Добавлено 19 дней назад,Поднято 19 дней назад,128,,42.8236,74.5858,от агента,элитка,"монолитный, 2022 г.",5 этаж из 14,100 м2,на газе,под самоотделку (псо),магистральный,раздельный,балкон,,паркинг,3.3 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение",договор долевого участия,есть,,пустая,нет,,"неугловая,                                             тихий двор",,нет,,,,,148000
"2-комн. кв., 60 м2","Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",Добавлено 6 месяцев назад,Поднято 7 часов назад,1368,4.0,42.8262,74.6235,от агента,элитка,"монолитный, 2022 г.",11 этаж из 12,60 м2,на газе,хорошее,магистральный,совмещенный,нет,бронированная,,,домофон,"договор долевого участия,                                             технический паспорт",,,,,,"кухня-студия,                                             неугловая,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,102000
"1-комн. кв., 53.72 м2","Бишкек, Кок-Жар ж/м, Шоокум, 84",Добавлено 3 дня назад,Поднято 8 часов назад,65,,42.8501,74.6358,от агента,индивид. планировка,"кирпичный, 2022 г.",4 этаж из 12,"53.72 м2, жилая: 22.47 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,73000
"1-комн. кв., 34 м2","Бишкек, 5 м-н",Добавлено 5 дней назад,Поднято 8 часов назад,119,,42.8321,74.6274,от агента,105 серия,панельный,7 этаж из 9,34 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,63000
"3-комн. кв., 62 м2","Бишкек, Асанбай м-н",Добавлено 9 дней назад,Поднято 5 часов назад,134,2.0,42.8184,74.6261,от агента,105 серия,"панельный, 1990 г.",3 этаж из 5,62 м2,центральное,хорошее,магистральный,раздельный,лоджия,бронированная,рядом охраняемая стоянка,3 м.,"домофон,                                             видеонаблюдение",технический паспорт,,,частично меблирована,,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,112000
"2-комн. кв., 133 м2","Бишкек, Физкультурный",Добавлено 1 месяц назад,Поднято 14 часов назад,508,8.0,42.8466,74.6095,от агента,элитка,"кирпичный, 2003 г.",7 этаж из 8,"133 м2, кухня: 21 м2",центральное,евроремонт,нет,совмещенный,балкон,бронированная,паркинг,3 м.,"домофон,                                             охрана,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",есть,adsl,полностью меблирована,,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",дерево,есть,,,,,157000
"2-комн. кв., 79 м2","Бишкек, Баха, Курчатова 59",Добавлено 3 месяца назад,Поднято 20 дней назад,470,2.0,42.8426,74.5623,от агента,106 серия улучшенная,"монолитный, 2022 г.",2 этаж из 9,"79 м2, кухня: 25 м2",на газе,евроремонт,,раздельный,лоджия,бронированная,,,,"договор купли-продажи,                                             технический паспорт",возможно подключение,,полностью меблирована,,,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,,,,112000
"1-комн. кв., 43 м2","Бишкек, Магистраль, Байтик Баатыра/Токомбаева",Добавлено 26 дней назад,Поднято 15 часов назад,211,,42.818,74.6088,от агента,элитка,"монолитный, 2024 г.",5 этаж из 16,43 м2,на газе,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,74000
"4-комн. кв., 176 м2","Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",Добавлено 13 дней назад,Поднято 5 часов назад,168,4.0,42.8173,74.6165,от агента,элитка,"монолитный, 2022 г.",9 этаж из 12,176 м2,на газе,евроремонт,,,,,,3 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,418000
"1-комн. кв., 52 м2","Бишкек, Джальская больница, поваренская 34",Добавлено 2 месяца назад,Поднято 13 часов назад,328,2.0,42.847,74.568,от агента,элитка,кирпичный,13 этаж из 14,52 м2,центральное,евроремонт,,,,,,,,,,,,,,,,,,,,,75000
"5-комн. кв., 228 м2","Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",Добавлено 7 дней назад,Поднято 8 часов назад,89,,42.8167,74.6245,от агента,элитка,"монолитный, 2025 г.",11 этаж из 18,228 м2,автономное,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,323760
"3-комн. кв., 120 м2","Бишкек, Магистраль",Добавлено 2 месяца назад,Поднято 8 часов назад,772,7.0,42.8304,74.5837,от агента,элитка,кирпичный,4 этаж из 10,120 м2,центральное,евроремонт,,,,,,,,"договор купли-продажи,                                             технический паспорт",,,,,,,,,,,,,180000
"1-комн. кв., 34 м2","Бишкек, Тунгуч м-н",Добавлено 4 месяца назад,Поднято 1 месяц назад,365,1.0,42.853,74.6868,от агента,индивид. планировка,"монолитный, 2018 г.",4 этаж из 9,34 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,57500
"2-комн. кв., 74.29 м2","Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",Добавлено 3 месяца назад,Поднято 9 часов назад,463,1.0,42.8171,74.617,от агента,элитка,"монолитный, 2022 г.",14 этаж из 16,74.29 м2,на газе,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,паркинг,3 м.,"охрана,                                             видеонаблюдение","договор купли-продажи,                                             красная книга",возможно подключение,,пустая,,,тихий двор,,,,,,,84000
"2-комн. кв., 75 м2","Бишкек, Магистраль, Ч. Айтматова/Масалиева",Добавлено 4 месяца назад,Поднято 8 часов назад,512,,42.8249,74.591,от агента,108 серия,"монолитный, 2022 г.",4 этаж из 9,75 м2,автономное,евроремонт,,,,,,2.8 м.,,договор долевого участия,,,,,,,,,,,,,114000
"2-комн. кв., 76 м2","Бишкек, Ипподром, Льва толстого 126/1/Баха",Добавлено 5 дней назад,Поднято 4 дня назад,187,,42.8641,74.558,от собственника,элитка,"кирпичный, 2025 г.",8 этаж из 15,"76 м2, жилая: 76 м2",центральное,под самоотделку (псо),магистральный,раздельный,,бронированная,паркинг,3 м.,"видеодомофон,                                             видеонаблюдение,                                             охрана,                                             домофон",договор долевого участия,есть,adsl,,,,"неугловая,                                             тихий двор",,,,,,,72000
"1-комн. кв., 34 м2","Бишкек, Кок-Жар м-н",Добавлено 3 месяца назад,Поднято 29 дней назад,1125,9.0,42.8486,74.6306,от собственника,105 серия,панельный,6 этаж из 9,34 м2,,среднее,нет,совмещенный,лоджия,,,,,,,,,,,,,,,,,,54500
"3-комн. кв., 77 м2","Бишкек, Дворец спорта, Жумабека - Коенкозова",Добавлено 11 дней назад,Поднято 3 дня назад,108,,42.883,74.5937,от агента,элитка,"монолитный, 2023 г.",8 этаж из 15,77 м2,центральное,евроремонт,,,,,,,,"договор долевого участия,                                             красная книга",,,полностью меблирована,,,,,,,,,,145000
"2-комн. кв., 49 м2","Бишкек, Мед. академия",Добавлено 5 дней назад,Поднято 8 часов назад,132,1.0,42.8432,74.6071,от агента,индивид. планировка,кирпичный,2 этаж из 5,49 м2,на газе,хорошее,магистральный,раздельный,,бронированная,паркинг,,"домофон,                                             кодовый замок,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",есть,проводной,полностью меблирована,нет,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",ламинат,есть,,,,,78000
"2-комн. кв., 86 м2","Бишкек, Космос, Ахунбаева/Абая",Добавлено 3 года назад,Поднято 9 дней назад,2891,3.0,42.845,74.6013,от собственника,элитка,кирпичный,1 этаж из 5,86 м2,центральное,хорошее,магистральный,2 с/у и более,застекленный балкон,бронированная,паркинг,3 м.,,,есть,проводной,полностью меблирована,есть,,,ламинат,,,,,,120000
"3-комн. кв., 100.34 м2","Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",Добавлено 2 месяца назад,Поднято 5 часов назад,305,1.0,42.8474,74.5671,от агента,элитка,"монолитный, 2023 г.",11 этаж из 16,100.34 м2,центральное,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,,,,,,,,,115000
"2-комн. кв., 76 м2","Бишкек, Магистраль, Сухэ Батора/Токомбаева",Добавлено 5 месяцев назад,Поднято 6 дней назад,860,9.0,42.8213,74.6168,от собственника,элитка,"кирпичный, 2022 г.",9 этаж из 14,76 м2,на газе,евроремонт,магистральный,раздельный,балкон,бронированная,,3 м.,,договор долевого участия,нет,проводной,полностью меблирована,,,,паркет,,,,,,128000
"3-комн. кв., 132 м2","Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Добавлено 1 месяц назад,Поднято 13 часов назад,182,,42.8171,74.6059,от агента,элитка,"монолитный, 2022 г.",7 этаж из 10,132 м2,на газе,евроремонт,магистральный,2 с/у и более,,,,3 м.,,"договор купли-продажи,                                             технический паспорт",,,полностью меблирована,,,,,,,,,,280000
"3-комн. кв., 100 м2","Бишкек, Средний Джал м-н",Добавлено 2 месяца назад,Поднято 5 часов назад,244,1.0,42.8399,74.5657,от агента,элитка,кирпичный,4 этаж из 10,100 м2,центральное,евроремонт,,,,,,,,договор долевого участия,,,,,,,,,,,,,147000
